,tweets
707,"[""@feminineevolut1 @DavidRankin666 @TimothyDSnyder 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
708,"[""@ClaudiusC @TimothyDSnyder @wolflotter 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5FSh0""]"
709,"[""@Essence2Success @TimothyDSnyder 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
710,"[""@rozzthomas @TimothyDSnyder yes you must since it's bullsh*t. 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
711,"[""@unger_desiree @Frances86891332 @TimothyDSnyder 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
712,"['@rovaz @Conmanswat @TimothyDSnyder @LincolnsBible ""Russia says"" - yeah right. 🙄Stop listening to western propaganda. The majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps']"
713,"[""@pattyj714 @TimothyDSnyder No, bec it's bullsh*t. 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
714,"[""@tag_alina @13millionplus @TimothyDSnyder 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
715,"[""@Mattison_MA @LitmusTaster2 @TimothyDSnyder 🙄Stop listening to Snyder. This is propaganda. He's so ignorant that he doesn't know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps""]"
716,"['@SueMayerNH @TimothyDSnyder @StrassburgRoger ""OMG"" 🙄Stop listening to Snyder. This is propaganda. He\'s so ignorant that he doesn\'t know that majority of eastern Ukrainians are Russian &amp; have family in Russia. Thousands have fled to Russia since 2014 https://t.co/T7wuf5ohps']"
717,"[""@Chabunga @TimothyDSnyder oh look, another western moron who doesn't know that thousands of eastern Ukrainians have been fleeing Ukr to go to Russia (many of them have family in Russia) https://t.co/T7wuf5ohps""]"
718,"['@Jerusalem_Post @TzviJoffre "" palestinians ""are actually 1948 Arab refugees &amp; their descendants. Deported surely to a Arab Muslim state and/or eastern, central and southern Arabian peninsula their origins.']"
719,['Seeking safety is a human right. Honored to be a part of celebrating the resilience of #refugees in Eastern Washington. #WorldRefugeeDay @USAO_EDWA https://t.co/ZrD9HC3TkB https://t.co/QOI96dPzyL']
720,"['#WorldRefugeeDay22: food crises, devastating conflict &amp; climate extremes hitting #refugees the hardest\n\nRation cuts of up to 50% are affecting three-quarters of all refugees supported by @WFP in Eastern Africa. https://t.co/izuPzt6Lex https://t.co/GXOPYIRx6V']"
721,['@EULondonMark The eastern nation states of Europe have taken those refugees. This is in-spite of the EU not because of it. The true architects of EU policy in Berlin and Paris have done everything possible to appease Putin and engineer a negotiated solution to maintain their gas supplies.']
722,"[""Also ,though Eastern European countries have welcomed Ukraine 's refugees (kudos) these very same,turn their backs on brown and black refugees fleeing civil wars,persecution and famine \nThe USA continues with ridiculously low quotas for refugees and asylum seekers""]"
723,['@dobrynova @kb24exoBB @McFaul That’s nonsense and you know that. Do you really think you that Russians don’t care that millions of Ukrainians (mostly russian speaking from eastern Ukraine!) are now homeless or refugees and that many thousands have lost their lives?']
724,"['@The_NewArab I’m wondering why Muslim Arab refugees seem to end up in the west and then complain about our way of life-why dont the go to Middle Eastern arab countries,where they wd feel comfortable']"
725,"['#WorldRefugeeDay22: food crises, devastating conflict &amp; climate extremes hitting #refugees the hardest\n\nWFP: Ration cuts of up to 50% are affecting three-quarters of all refugees supported by WFP in Eastern Africa. https://t.co/hVSXSQtrKR https://t.co/mzhGlkMoR8']"
726,"['@Notyour99585120 Many refugees from the initial Russian assault (Kyiv) have returned home. The eastern region and coastal areas east of Odessa are still under heavy attack, rendering those areas dangerous for women and children.']"
727,"[""In Ukraine's eastern Luhansk region, which in recent weeks has become the focal point of Moscow's attempt to impose its will on its neighbor, battles raged for the control of multiple villages, the local governor said.\n\nhttps://t.co/hloEnhLlEO""]"
728,"['#WorldRefugeeDay: food crises, devastating conflict &amp; climate extremes hitting #refugees the hardest\n\nRation cuts of up to 50% are affecting three-quarters of all refugees supported by @WFP_Africa  in Eastern Africa. . https://t.co/hVSXSQtrKR https://t.co/C7ANAdRIaq']"
729,['39% of Central and Eastern Europeans think that migrants threaten their values and identity! #GLOBSECTrends #WorldRefugeeDay \n\nFind out more➡️https://t.co/ZkGINChduP\n@eu_near @un @Refugees @UNDP @UNmigration @RefugeesMedia']
730,"['Free SCEH Public Service Webinar\nJune 24, 2022 (Friday), 12:00-1:30pm Eastern\nProviding Psychological Support for Refugees and Displaced Populations\n\n#mentalhealth #trauma #sceh\n\nVisit website to learn more and register:\nhttps://t.co/yeH6cAQxlL https://t.co/n1J9iIq7ti']"
731,"[""@terescavs @lisahsmithlhs I haven't tried bugs... I mean I would say to my friends, if we didn't live in a country so spoiled... we would be eating bugs just like the eastern side of the world! People need to look at the bigger picture and see that our refugees don't eat meat like we do 😉😅""]"
732,['@APAPsychiatric I see many middle eastern refugees in my practice. Many are getting better with appropriate treatment.']
733,"[""@BowesChay @BorisJohnson @trussliz @vonderleyen @POTUS There are still Palestinian refugees here, waiting to be processed with no PPS numbers, wonder if that's because they are Middle Eastern? The Ukranians were processed v fast, same situation, people fleeing war ..""]"
734,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday, as the war's consequences for food &amp; fuel supplies increasingly weighed on minds around the globe after warnings that the fighting could go on for years.\n\nhttps://t.co/ALAe3qrCqe""]"
735,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday, as the war's consequences for food &amp; fuel supplies increasingly weighed on minds around the globe after warnings that the fighting could go on for years.\n\nhttps://t.co/fiGw91B5LF""]"
736,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday, as the war's consequences for food and fuel supplies increasingly weighed on minds around the globe after warnings the fighting could go on for years.\n\nhttps://t.co/TpF61SrdxN""]"
737,['Article URLs:\n1. https://t.co/ueP3Y8sbv1\n2. https://t.co/Hz6owgZ8Cu\n3. https://t.co/CgakGx1oOS\n4. https://t.co/moyKScL5Lw\n5. https://t.co/JwYCenoHiX\n6. https://t.co/YOEDsTWDII\n7. https://t.co/ACJBBSOjpB']
738,"['""Everything is engulfed in fire, the shelling doesn\'t stop even for an hour.""\n\nhttps://t.co/7Gzl9dYv1E']"
739,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday\n\nhttps://t.co/WH1UjBuVIP""]"
740,"['""IT\'S JUST HELL THERE""| Russia\'s military machine persevered in its ferocious effort to grind down Ukraine\'s defenses Monday\n\nhttps://t.co/YNXzuCnbBD']"
741,"['The Minister for Refugees, Esther Anyakun has promised safe space for refugees. This follows heavy fighting in Eastern DRC. You can always watch #TheNews on Urban Television from 9-10pm daily.\n#UrbanUpdates https://t.co/G0JUiekBqb']"
742,"['We need to find away to let more North African and Middle Eastern refugees into Europe, the UK and Ireland. \n\nMillions more. Hundreds of millions. \n\nIt’s not fair or just that people in Europe are so greedy and selfish and bigoted. \n\nMore military aged refugees NOW! https://t.co/n9lpJC69Vt']"
743,"['Kuja Kuja honors and thanks the more than two million refugees and migrants across Latin America, Eastern Africa, and Ukraine who have trusted us to amplify your voice.\n\nKuja Kuja stands #withrefugees\n\n#kujakuja #StandWithRefugees #WorldRefugeeDay https://t.co/uqOHgmUhQl']"
744,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday. https://t.co/BWrBuFH8LF""]"
745,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses Monday. https://t.co/pvl8aSbWq7""]"
746,['#WorldRefugeeDay\n\nFurther food ration cuts are imminent for refugees as humanitarian needs multiply around the world\n\nRation cuts are already affecting 3/4 of all refugees supported by @WFP in Eastern Africa including those living in #SouthSudan\n\nMore👉🏿https://t.co/nKb1Ok9m9K https://t.co/0DsG8EqXni']
747,"['There are around 250k Azerbaijani Refugees, including 2 of my grandparents, ethnically cleansed from #Armenia, in addition to a million IDPs displaced from liberated Karabakh🇦🇿 &amp; Eastern Zangezur🇦🇿.\n\nThis issue should be addressed as a part of🇦🇿-🇦🇲 #peace deal.\n\n#WorldRefugeeDay https://t.co/ROGFUJuFJ0']"
748,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses today. https://t.co/rwloVU5oqQ""]"
749,"['""It\'s just hell there. Everything is engulfed in fire, the shelling doesn\'t stop even for an hour.""   https://t.co/5RvFAnzWk5']"
